IFSC_Code,Employee_id,manages_from,manages_till
100000,10000,2016-07-28,2026-07-28
100001,10001,2017-05-11,2027-05-11
100002,10002,2016-09-27,2026-09-27
100003,10003,2017-06-26,2027-06-26
100004,10004,2016-09-27,2026-09-27
100005,10005,2016-06-15,2026-06-15
100006,10006,2016-09-17,2026-09-17
100007,10007,2017-05-02,2027-05-02
100008,10008,2016-06-08,2026-06-08
100009,10009,2016-07-01,2026-07-01
100010,10010,2017-01-06,2027-01-06
100011,10011,2017-02-03,2027-02-03
100012,10012,2016-04-09,2026-04-09
100013,10013,2016-12-19,2026-12-19
100014,10014,2017-11-12,2027-11-12
100015,10015,2017-04-21,2027-04-21
100016,10016,2016-03-17,2026-03-17
100017,10017,2017-07-16,2027-07-16
100018,10018,2016-11-05,2026-11-05
100019,10019,2017-11-24,2027-11-24
100020,10020,2016-04-10,2026-04-10
100021,10021,2017-07-02,2027-07-02
100022,10022,2016-08-21,2026-08-21
100023,10023,2016-09-06,2026-09-06
100024,10024,2017-09-08,2027-09-08
100025,10025,2016-06-02,2026-06-02
